Salary,Born,Cntry,Nat,Ht,Wt,DftYr,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-
575000,89-05-10,CAN,CAN,,200,,,R,Rowney,Carter,RW/C,PIT,27,3,4,,1,7,2
2500000,81-03-24,USA,USA,75,210,2000,13,L,Hainsey,Ron,D,CAR/PIT,72,4,13,8,5,17,-8
800000,90-03-23,CAN,CAN,73,207,2008,152,L,Barberio,Mark,D,COL/MTL,60,2,,6,5,13,-5
925000,94-04-11,CAN,CAN,,192,2014,55,R,Montour,Brandon,D,ANA,27,2,4,2,2,,11
3900000,84-08-14,CAN,CAN,73,204,,,L,Gorges,Josh,D,BUF,66,1,5,,2,,-3
575000,85-02-08,CAN,CAN,73,195,,,L,Smith,Trevor,C/RW,NSH,1,0,0,0,,0,0
7500000,85-04-10,CAN,CAN,,219,2003,9,L,Phaneuf,Dion,D,OTT,81,9,21,,11,30,-6
575000,87-09-01,CAN,CAN,71,180,,,L,Zolnierczyk,Harry,LW,NSH,24,2,2,2,0,4,-2
4000000,79-01-12,SVK,SVK,73,207,1997,12,L,Hossa,Marian,RW,CHI,73,26,,11,8,45,7
5600000,83-09-27,CAN,CAN,76,221,2002,3,L,Bouwmeester,Jay,D,STL,81,1,14,7,7,15,6
925000,98-06-25,RUS,RUS,75,215,2016,9,L,Sergachev,Mikhail,D,MTL,4,0,0,,0,,1
3200000,82-12-23,CZE,CZE,74,210,,,R,Michalek,Zbynek,D,ARI,3,0,0,0,0,0,1
650000,86-05-07,USA,USA,,201,,,R,Prosser,Nate,D,MIN,39,2,5,2,3,7,0
2100000,88-04-20,USA,USA,73,196,2007,173,L,Bonino,Nick,C,PIT,80,18,19,12,7,37,-5
4500000,90-10-29,RUS,RUS,73,204,2009,14,L,Kulikov,Dmitry,D,BUF,47,2,3,1,2,5,
3250000,81-10-04,CAN,CAN,,188,2000,28,R,Williams,Justin,RW,WSH,80,24,,8,16,48,14
