Salary,Born,Cntry,Nat,Ht,Wt,DftYr,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-
925000,97-01-30,CAN,CAN,74,190,2015,18,L,Chabot,Thomas,D,OTT,1,0,0,0,0,0,-2
2250000,93-12-21,CAN,CAN,,207,2012,15,R,Ceci,Cody,D,OTT,79,,15,6,9,17,-11
8000000,88-04-16,USA,USA,72,218,,7,R,Okposo,Kyle,RW,BUF,65,19,26,13,13,45,-7
3500000,92-01-07,CAN,CAN,77,220,2010,3,R,Gudbranson,Erik,D,VAN,30,1,5,,0,6,-14
1750000,94-03-29,CAN,CAN,,217,2012,16,R,Wilson,Tom,RW,WSH,82,7,12,4,8,19,9
1500000,79-05-23,CAN,CAN,70,192,,156,L,Campbell,Brian,D,CHI,80,,12,6,6,17,
950000,90-11-21,SWE,SWE,71,185,2009,53,L,Rodin,Anton,RW,VAN,3,0,1,0,1,1,1
842500,93-07-28,CAN,CAN,,183,,,R,Rodrigues,Evan,LW/C,BUF,30,4,2,2,0,6,-7
1250000,92-06-14,CAN,CAN,72,214,2010,42,R,Smith-Pelly,Devante,RW/C/LW,N.J,53,4,5,2,3,,-19
925000,93-04-27,CAN,CAN,68,178,2011,201,L,Peca,Matthew,C,T.B,10,1,1,1,,2,-3
800000,86-07-27,CAN,CAN,73,195,,,L,Desjardins,Andrew,LW/C,CHI,46,0,1,0,1,1,-6
600000,92-04-09,CAN,CAN,74,204,2010,89,L,Chaput,Michael,C,VAN,68,4,5,2,3,9,-12
1000000,88-03-17,CAN,CAN,,200,2006,66,R,White,Ryan,C,ARI/MIN,65,9,7,4,3,16,-16
925000,96-06-20,CAN,CAN,73,186,2014,4,L,Bennett,Sam,C,CGY,81,13,,7,6,26,-16
950000,89-04-20,CAN,CAN,72,195,,112,R,Sceviour,Colton,C/RW,FLA,80,9,15,9,6,24,-16
680000,94-01-06,CAN,CAN,,187,2012,105,L,Kulak,Brett,D,CGY,21,0,3,2,1,,-3
590000,92-04-24,CAN,CAN,71,183,2011,209,L,Wilson,Scott,LW/C,PIT,78,8,18,11,7,26,0
650000,91-05-13,CAN,CAN,74,203,2009,70,R,Beck,Taylor,LW,EDM/NYR,5,0,0,0,0,0,-3
2250000,86-04-28,CZE,CZE,74,235,2004,180,R,Polak,Roman,D,TOR,75,,7,,5,11,10
600000,90-10-08,USA,USA,,210,2009,114,L,Helgeson,Seth,D,N.J,9,1,0,0,0,1,2
5000000,94-03-09,CAN,CAN,73,215,2012,5,L,Rielly,Morgan,D,TOR,76,6,21,14,7,27,-20
5250000,92-06-25,CAN,CAN,70,188,2010,14,L,Schwartz,Jaden,LW/C,STL,78,19,36,24,12,,14
925000,96-05-01,CAN,SWE,,190,2014,8,R,Nylander,William,C/RW,TOR,81,22,39,23,16,61,
1600000,90-11-29,CZE,CZE,79,220,,,R,Sustr,Andrej,D,T.B,80,3,11,5,6,14,-10
717500,96-11-26,USA,USA,77,203,2015,37,R,Carlo,Brandon,D,BOS,82,6,10,3,7,16,
925000,96-05-25,CZE,CZE,72,181,2014,25,R,Pastrnak,David,RW/LW,BOS,75,34,36,22,14,70,11
900000,98-03-14,CAN,CAN,,191,2016,10,L,Jost,Tyson,C/LW/RW,COL,6,1,0,0,0,1,-5
3750000,88-05-28,CAN,CAN,72,200,2007,26,R,Perron,David,LW/RW,STL,82,18,28,,12,46,-2
792500,94-03-23,SWE,SWE,75,209,2012,81,R,Sundqvist,Oskar,C,PIT,10,0,0,0,0,0,-4
600000,90-11-16,USA,USA,,219,,,L,Schaller,Tim,C,BOS,59,7,,6,1,14,-6
6000000,91-08-22,CAN,CAN,73,195,,5,L,Schenn,Brayden,C/LW,PHI,79,25,30,17,13,55,-13
5500000,92-03-20,USA,USA,72,215,2010,37,R,Faulk,Justin,D,CAR,75,17,20,11,9,,-18
724500,92-10-26,CAN,CAN,72,192,2011,65,L,Cramarossa,Joseph,C/LW,ANA/VAN,59,4,6,3,3,10,0
725000,91-11-01,CAN,CAN,72,188,,,L,Carr,Daniel,LW,MTL,33,2,7,5,,9,4
4000000,90-06-05,CZE,CZE,72,204,2010,66,R,Gudas,Radko,D,PHI,67,,17,10,7,23,8
800000,90-09-23,CAN,CAN,70,206,2009,132,L,Bourque,Gabriel,LW/RW,COL,6,0,0,0,0,0,0
4250000,90-06-01,CHE,CHE,73,201,2008,38,L,Josi,Roman,D,NSH,72,12,37,20,17,49,
742500,94-05-01,USA,USA,74,205,,120,L,Slavin,Jaccob,D,CAR,82,5,29,14,15,34,23
750000,90-06-20,USA,USA,75,221,2008,128,R,Pateryn,Greg,D,DAL/MTL,36,1,8,1,7,9,-1
4500000,86-08-01,SWE,SWE,71,190,2005,216,R,Stralman,Anton,D,T.B,73,5,17,8,9,,1
3000000,92-11-12,SWE,SWE,75,215,2011,4,R,Larsson,Adam,D,EDM,79,4,15,,12,19,21
630000,90-05-27,USA,USA,74,196,2009,198,R,Dowd,Nic,C,L.A,70,6,16,10,6,22,-15
2200000,89-11-21,FRA,FRA,72,200,,,L,Roussel,Antoine,LW,DAL,60,,15,11,4,27,
650000,90-07-16,USA,USA,75,221,,,L,Lashoff,Brian,D,DET,5,0,0,0,0,0,-3
1300000,89-04-27,CAN,CAN,69,160,2007,179,L,Byron,Paul,LW/C/RW,MTL,81,22,21,15,6,43,21
925000,94-09-22,SWE,SWE,74,196,2013,14,L,Wennberg,Alex,C,CBJ,80,13,46,27,19,,9
700000,88-02-16,DEU,DEU,75,215,,111,R,Holzer,Korbinian,D,ANA,32,2,5,2,3,7,0
1200000,92-02-18,SVK,SVK,76,210,2010,46,L,Marincin,Martin,D,TOR,25,1,6,2,4,7,3
925000,97-01-13,RUS,RUS,73,201,2015,7,L,Provorov,Ivan,D,PHI,82,6,,15,9,30,-7
925000,97-06-23,CAN,CAN,76,220,2015,11,L,Crouse,Lawson,LW,ARI,72,5,7,5,2,12,-20
6000000,88-09-10,CAN,CAN,,220,2006,2,L,Staal,Jordan,C/LW,CAR,75,16,29,11,,45,-1
950000,83-10-19,CAN,CAN,,200,2002,17,R,Gordon,Boyd,C/RW,PHI,13,,0,0,0,1,-5
2500000,94-12-02,SWE,SWE,,192,2013,5,R,Lindholm,Elias,C/RW,CAR,72,11,34,29,5,45,
1050000,91-03-23,FIN,FIN,,193,2009,182,L,Haula,Erik,C/LW,MIN,72,15,,7,4,26,5
792500,95-03-14,SWE,SWE,72,201,2013,180,L,Blidh,Anton,LW,BOS,19,1,1,1,0,2,-2
600000,86-08-09,USA,USA,71,197,,,R,Cannone,Patrick,C,MIN,3,0,0,0,0,0,0
4750000,85-10-12,SWE,SWE,75,210,2004,49,L,Soderberg,Carl,C/LW,COL,80,6,8,4,4,,-26
925000,93-02-10,CAN,CAN,74,194,,92,L,Simpson,Dillon,D,EDM,3,0,,0,0,0,0
6000000,90-09-20,CAN,CAN,73,211,2009,1,L,Tavares,John,C,NYI,77,28,38,21,17,66,
925000,98-03-02,CAN,CAN,73,180,2016,8,R,Nylander,Alex,RW/LW,BUF,4,0,1,1,0,1,-2
767500,95-04-16,CAN,CAN,,210,2013,40,L,Elie,Remi,LW,DAL,18,1,,2,4,7,5
3500000,89-06-05,USA,USA,,182,2008,157,R,Atkinson,Cam,RW,CBJ,82,35,27,18,9,62,13
4500000,91-03-20,USA,USA,72,199,2009,16,L,Leddy,Nick,D,NYI,81,11,35,17,18,,-3
750000,83-02-02,CAN,CAN,69,195,2001,98,R,Tootoo,Jordin,RW,CHI,50,2,1,0,1,3,-6
3100000,87-05-02,CAN,CAN,70,170,2005,67,L,Russell,Kris,D,EDM,68,1,12,2,10,13,
2350000,94-07-25,CAN,CAN,72,183,2012,7,R,Dumba,Matt,D,MIN,76,11,,10,13,34,15
750000,91-09-30,USA,USA,78,232,,,R,Robinson,Buddy,RW,OTT,4,0,0,0,0,,0
700000,87-05-19,USA,USA,73,216,2005,7,R,Skille,Jack,RW,VAN,55,5,4,4,0,9,0
6750000,83-10-03,CAN,CAN,72,198,,,L,Giordano,Mark,D,CGY,81,12,27,12,15,39,22
600000,91-01-18,USA,USA,72,195,,,R,Carpenter,Ryan,C,S.J,11,2,2,2,0,4,5
650000,96-05-27,CAN,CAN,,191,2014,101,R,Nogier,Nelson,D,WPG,10,0,0,0,0,0,
2600000,91-07-27,CAN,CAN,,218,2009,30,L,Despres,Simon,D,ANA,1,0,0,,0,0,0
667500,95-12-12,USA,USA,71,185,2014,171,R,Labanc,Kevin,RW,S.J,55,8,12,10,2,20,9
925000,94-04-07,CAN,CAN,70,190,,,R,Stecher,Troy,D,VAN,71,,21,10,11,24,-16
2100000,89-07-05,CAN,CAN,76,229,2007,109,L,King,Dwight,LW/RW,L.A/MTL,80,9,7,4,3,16,-2
7000000,87-12-09,USA,USA,75,204,2006,45,R,Petry,Jeff,D,MTL,80,8,20,11,9,28,3
667500,94-02-07,USA,USA,,193,,167,R,Barber,Riley,RW,WSH,3,0,0,0,,0,0
5000000,87-09-03,CAN,CAN,,221,2005,33,L,Neal,James,RW/LW,NSH,70,23,18,14,4,41,-10
3900000,87-07-26,USA,USA,73,212,2007,95,L,Martinez,Alec,D,L.A,82,9,30,13,17,39,
625000,92-07-25,CAN,CAN,72,202,2012,58,L,Martinook,Jordan,LW/C,ARI,77,,14,10,4,25,-8
2750000,90-12-01,SVK,SVK,70,185,2009,60,L,Tatar,Tomas,LW/C/RW,DET,82,25,21,12,9,46,-8
3400000,92-05-19,RUS,RUS,74,192,2010,26,L,Kuznetsov,Evgeny,C/LW,WSH,82,19,40,23,17,59,18
842500,96-04-16,CAN,CAN,,195,2014,30,L,Quenneville,John,C,N.J,12,1,3,2,1,4,1
5500000,80-09-26,USA,USA,,219,2000,18,L,Orpik,Brooks,D,WSH,79,0,14,6,8,14,
575000,91-12-15,CAN,CAN,,172,,,L,Gourde,Yanni,C,T.B,20,6,2,2,0,8,-1
5500000,87-02-25,USA,USA,74,218,2005,42,L,Abdelkader,Justin,LW/RW,DET,64,7,14,9,,21,-20
925000,93-02-25,USA,USA,70,194,,,R,Vecchione,Mike,C/RW,PHI,2,0,0,0,0,0,-1
5750000,88-05-24,RUS,RUS,76,198,2006,54,L,Anisimov,Artem,C/LW,CHI,64,22,23,12,11,45,9
715000,93-09-08,USA,USA,,195,2011,99,L,Boucher,Reid,C/LW,N.J/NSH/VAN,39,6,,3,1,10,-6
925000,98-03-31,USA,USA,75,200,2016,16,L,Chychrun,Jakob,D,ARI,68,7,13,5,8,,-14
3250000,85-02-19,CAN,CAN,76,216,2004,79,L,Stoner,Clayton,D,ANA,14,1,2,1,1,3,0
925000,96-02-07,CAN,CAN,76,216,2014,1,R,Ekblad,Aaron,D,FLA,68,10,11,4,7,21,
825000,91-10-07,USA,CAN,75,215,2011,160,R,Manson,Josh,D,ANA,82,5,12,4,8,17,14
3575000,89-03-17,SWE,SWE,73,199,2007,24,L,Backlund,Mikael,C,CGY,81,22,31,21,10,,9
600000,92-02-25,USA,USA,68,165,2011,66,R,Tynan,T.J.,C/RW,CBJ,3,0,,0,0,0,-1
5850000,86-04-29,USA,USA,74,218,2004,60,L,Dubinsky,Brandon,C/LW,CBJ,80,12,29,21,8,41,16
750000,92-03-09,USA,USA,72,187,2011,204,L,Dzingel,Ryan,LW/RW/C,OTT,81,,18,13,5,32,7
5000000,82-10-30,USA,USA,71,190,,,L,Greene,Andy,D,N.J,66,4,9,6,3,13,-16
660000,95-09-24,CAN,CAN,76,213,2014,73,R,Lernout,Brett,D,MTL,2,0,0,0,,0,-1
3000000,88-01-05,CAN,CAN,70,188,2006,177,L,Perreault,Mathieu,C/LW,WPG,65,13,,18,14,45,-11
2500000,86-12-20,CAN,CAN,72,192,2006,189,R,Dorsett,Derek,RW,VAN,14,1,3,2,1,4,-6
800000,90-09-12,CAN,CAN,77,202,2008,42,L,Wiercioch,Patrick,D,COL,57,4,8,3,,12,-18
925000,96-02-23,USA,USA,72,177,2014,20,R,Schmaltz,Nick,C/LW,CHI,61,6,22,16,6,28,
13800000,88-11-19,USA,USA,71,177,,1,L,Kane,Patrick,RW/C,CHI,82,34,55,36,19,89,11
3500000,91-04-01,CAN,CAN,72,185,2009,69,L,Smith,Reilly,RW/C/LW,FLA,80,15,22,9,13,37,-13
7000000,85-01-01,CAN,CAN,75,217,2003,11,R,Carter,Jeff,C/RW,L.A,82,,34,22,12,,2
6000000,84-07-11,USA,USA,71,190,2003,205,R,Pavelski,Joe,C/RW,S.J,81,29,39,23,16,68,11
925000,97-12-11,USA,USA,74,202,2016,6,L,Tkachuk,Matthew,LW,CGY,76,13,35,25,,48,14
727500,95-05-15,RUS,RUS,,224,,37,R,Zykov,Valentin,LW,CAR,2,1,0,0,0,1,1
2500000,83-02-04,USA,USA,,195,,148,R,Stempniak,Lee,RW,CAR,82,16,24,13,11,40,2
1000000,89-11-02,CAN,CAN,74,229,2008,5,R,Schenn,Luke,D,ARI,78,1,7,2,5,,-9
700000,89-07-25,CAN,CAN,76,225,2007,172,L,Gazdic,Luke,LW,N.J,11,0,0,0,0,0,-2
2350000,88-12-01,AUT,AUT,72,200,,,L,Raffl,Michael,LW/C,PHI,52,,3,2,1,11,-7
2750000,90-11-13,CAN,CAN,76,230,,,L,Dillon,Brenden,D,S.J,81,2,,1,7,10,-2
925000,97-09-17,USA,USA,,216,2016,1,L,Matthews,Auston,C,TOR,82,40,29,20,9,69,2
7450000,89-12-08,CAN,CAN,,195,2008,2,R,Doughty,Drew,D,L.A,82,12,32,16,16,,8
5400000,94-10-27,FIN,FIN,76,203,2013,8,R,Ristolainen,Rasmus,D,BUF,79,6,39,17,22,45,-9
750000,95-03-22,CAN,CAN,69,179,2013,43,L,Petan,Nic,LW/C,WPG,54,1,,8,4,13,-13
575000,92-10-14,USA,USA,76,224,2011,34,R,Mayfield,Scott,D,NYI,25,2,7,,4,9,-1
925000,96-05-10,USA,USA,76,222,2014,18,R,Tuch,Alex,RW,MIN,6,0,0,0,0,0,-3
925000,93-07-13,USA,USA,74,193,2011,98,L,Reilly,Mike,D,MIN,17,1,0,0,0,1,1
3000000,81-04-11,CAN,CAN,73,197,,,L,Burrows,Alex,LW/RW,OTT/VAN,75,15,16,10,6,,3
650000,92-07-18,USA,USA,73,190,,,R,Nelson,Casey,D,BUF,11,0,0,0,0,0,-3
575000,90-07-03,SWE,SWE,,205,,,L,Rasmussen,Dennis,C,CHI,68,4,4,4,0,8,-4
725000,87-03-15,USA,USA,,190,2005,97,L,VandeVelde,Chris,C/LW,PHI,81,6,9,3,6,,-5
3000000,90-05-24,SWE,SWE,76,215,2009,102,L,Ekholm,Mattias,D,NSH,82,3,20,,14,23,4
950000,90-06-04,CAN,CAN,,205,,,L,Manning,Brandon,D,PHI,65,3,9,4,5,12,-12
3000000,86-10-12,CAN,CAN,76,212,2005,55,R,Mcquaid,Adam,D,BOS,77,2,8,4,4,10,4
1250000,90-07-02,USA,USA,,169,,,R,Brown,J.T.,RW,T.B,64,3,3,1,2,6,
575000,88-06-04,USA,USA,73,196,2008,190,L,Bartkowski,Matt,D,CGY,24,1,1,0,1,,-4
600000,89-11-01,CAN,CAN,74,199,2008,45,R,Dalpe,Zac,C,MIN,9,1,2,0,2,3,0
4000000,72-02-15,CZE,CZE,75,230,,5,L,Jagr,Jaromir,RW,FLA,82,16,30,20,10,46,2
575000,87-01-01,CAN,CAN,72,205,2005,8,R,Setoguchi,Devin,RW,L.A,45,4,,4,4,12,
625000,93-05-21,USA,USA,74,190,,,L,Rooney,Kevin,C,N.J,4,0,0,0,0,0,-3
735000,92-11-05,USA,USA,,190,2011,47,L,Nieto,Matt,LW/RW,COL/S.J,59,,6,3,3,,-12
575000,90-08-16,CAN,CAN,,176,,,L,Jones,Connor,C/LW,NYI,4,0,0,0,0,0,1
640000,90-06-13,NOR,NOR,,220,,,L,Martinsen,Andreas,LW/C,COL/MTL,64,3,4,3,1,,-14
800000,92-11-16,USA,USA,71,185,2011,61,L,Prince,Shane,LW/C,NYI,50,5,,7,6,18,-9
925000,95-04-08,USA,USA,,193,2013,35,R,Compher,J.T.,LW/C,COL,21,3,2,1,1,5,0
4000000,83-04-01,FIN,FIN,71,198,2001,192,L,Jokinen,Jussi,LW/RW/C,FLA,69,,17,11,6,28,-15
5750000,92-10-27,USA,USA,73,206,2011,43,L,Saad,Brandon,LW/RW,CBJ,82,24,29,18,11,53,
892500,91-12-01,USA,USA,70,208,,,R,Acciari,Noel,C,BOS,29,2,3,1,,5,3
7250000,87-04-24,CAN,CAN,72,201,2005,62,R,Letang,Kris,D,PIT,41,5,29,9,20,34,2
3500000,80-02-10,CAN,CAN,72,179,1998,45,L,Ribeiro,Mike,C,NSH,46,4,,10,11,25,
575000,90-05-30,USA,USA,69,170,2008,95,L,Warsofsky,David,D,PIT,7,0,1,1,0,1,-3
10900000,87-08-07,CAN,CAN,,200,2005,1,L,Crosby,Sidney,C,PIT,75,44,45,28,17,,17
667500,97-01-02,CAN,CAN,,185,2015,67,R,Speers,Blake,C,N.J,3,0,0,0,0,0,0
832500,95-02-04,CAN,CAN,76,220,2013,7,L,Nurse,Darnell,D,EDM,44,5,6,,4,11,0
8000000,91-12-13,RUS,RUS,,219,2010,16,L,Tarasenko,Vladimir,RW,STL,82,39,36,18,18,75,-1
692500,95-08-02,SVK,SVK,74,202,2013,90,L,Cehlarik,Peter,LW/RW,BOS,11,0,2,1,1,,0
3500000,84-10-29,CAN,CAN,76,208,2003,2,L,Staal,Eric,C,MIN,82,28,37,24,13,65,17
900000,92-04-20,CAN,CAN,74,208,2010,133,L,Ferland,Micheal,LW/RW,CGY,76,,10,,4,25,-1
575000,89-01-21,USA,USA,70,190,,,L,Farnham,Bobby,RW,MTL,3,0,0,0,0,0,
600000,91-05-17,CAN,CAN,73,210,2011,80,L,Andreoff,Andy,LW/C,L.A,36,0,2,2,0,2,-2
705000,94-01-07,CAN,CAN,72,212,2013,206,R,Weegar,Mackenzie,D,FLA,3,0,0,0,0,0,
900000,96-10-31,SWE,SWE,73,184,,45,R,Forsbacka Karlsson,Jakob,C,BOS,1,0,0,0,0,0,0
8000000,84-06-16,CAN,CAN,,212,2002,1,L,Nash,Rick,RW/LW,NYR,67,23,15,,2,38,9
4000000,90-06-07,CAN,CAN,75,210,2008,69,R,Stone,Michael,D,ARI/CGY,64,3,12,6,6,15,0
575000,90-05-18,USA,USA,70,184,2008,40,L,Ness,Aaron,D,WSH,2,,0,0,0,0,-1
1850000,90-07-18,SWE,SWE,72,180,,,R,Karlsson,Melker,C/RW,S.J,67,11,11,5,6,22,7
2500000,87-05-07,CAN,CAN,72,190,,,L,Schlemko,David,D,S.J,62,2,16,8,,18,4
740000,95-08-04,CAN,CAN,73,206,2013,69,R,Baptiste,Nicholas,RW,BUF,14,3,1,0,1,4,1
800000,91-03-17,RUS,RUS,75,200,,,L,Kalinin,Sergey,C/RW,N.J,43,2,2,2,0,4,
667500,96-03-13,CAN,CAN,70,166,2014,79,R,Point,Brayden,C,T.B,68,18,22,8,14,40,4
4000000,86-09-29,CAN,CAN,,204,2005,4,L,Pouliot,Benoit,LW,EDM,67,,6,5,1,14,-5
700000,91-07-17,CAN,CAN,72,189,2009,96,R,Vey,Linden,RW/C,CGY,4,0,0,0,0,0,-2
7000000,90-05-31,SWE,SWE,,191,2008,15,R,Karlsson,Erik,D,OTT,77,17,54,,29,71,10
5000000,91-06-03,FIN,FIN,70,183,,106,R,Vatanen,Sami,D,ANA,71,3,21,9,12,,3
9000000,87-10-02,USA,USA,72,202,2006,5,R,Kessel,Phil,RW/C,PIT,82,23,47,25,22,70,3
925000,95-12-30,RUS,RUS,74,190,2014,26,L,Scherbak,Nikita,RW,MTL,3,1,0,0,0,1,
4000000,93-03-01,SWE,SWE,,200,2011,42,L,Rask,Victor,C,CAR,82,16,29,11,18,45,-10
600000,95-04-10,DNK,DNK,72,175,2013,89,R,Bjorkstrand,Oliver,RW,CBJ,26,,7,4,3,13,4
725000,85-03-06,FRA,FRA,72,198,,,L,Bellemare,Pierre-Edouard,LW/C,PHI,82,4,4,,1,8,-1
925000,95-04-20,USA,USA,73,214,2013,33,L,Erne,Adam,LW,T.B,26,3,0,0,0,3,
792500,94-03-14,USA,USA,,201,,,L,Vatrano,Frank,C/LW,BOS,44,10,8,2,6,18,-3
832500,94-01-09,CZE,CZE,75,210,2012,13,L,Faksa,Radek,C,DAL,80,12,21,13,8,33,-6
2950000,87-01-23,EST,FIN,71,210,2006,180,L,Komarov,Leo,C/LW,TOR,82,14,18,11,7,32,6
4250000,93-06-17,RUS,RUS,,178,,58,L,Kucherov,Nikita,RW,T.B,74,40,45,28,17,85,
875000,94-11-09,USA,USA,76,203,2013,61,L,Sanford,Zach,LW,STL/WSH,39,4,4,,3,8,2
625000,93-01-04,CAN,CAN,69,191,2012,131,R,Griffith,Seth,C/RW,FLA/TOR,24,0,5,,1,5,6
575000,95-02-03,RUS,RUS,68,170,,,L,Tolchinsky,Sergey,LW,CAR,2,0,1,1,0,1,0
625000,88-09-24,USA,USA,71,192,2007,93,R,Kampfer,Steven,D,FLA/NYR,11,1,,1,0,2,
4000000,86-06-14,CAN,CAN,70,185,,,R,Read,Matt,RW/LW,PHI,63,10,9,7,2,19,3
2500000,91-10-15,USA,USA,75,206,2010,30,L,Nelson,Brock,C/LW,NYI,81,20,25,14,11,45,
675000,89-04-28,USA,USA,71,199,,,R,Glendening,Luke,C/RW/LW,DET,74,3,11,9,2,14,-10
900000,92-02-08,SWE,SWE,75,215,2010,41,L,Nemeth,Patrik,D,DAL,40,0,3,,1,,-4
1050000,91-04-24,SWE,SWE,72,184,2009,40,L,Lander,Anton,C/LW/RW,EDM,22,,3,1,2,4,2
1100000,92-01-30,CAN,CAN,,184,2010,45,L,Spooner,Ryan,C/LW,BOS,78,12,28,14,14,39,-8
925000,96-08-17,CAN,CAN,73,229,,6,R,Virtanen,Jake,RW,VAN,10,,1,0,1,,1
650000,92-05-01,USA,USA,71,188,2011,171,L,McCormick,Max,RW/LW/C,OTT,7,0,0,0,0,0,-3
3850000,91-05-24,CAN,CAN,,190,2009,85,L,Eakin,Cody,C,DAL,60,3,9,7,2,12,-7
9000000,84-07-28,USA,USA,71,196,2003,17,L,Parise,Zach,LW,MIN,69,,23,17,6,42,
925000,97-02-25,USA,USA,73,191,2015,23,R,Boeser,Brock,RW,VAN,9,4,1,1,0,5,0
700000,90-12-04,CAN,CAN,70,193,2009,147,L,Varone,Phil,C,OTT,7,0,0,0,0,0,-3
742500,93-03-26,FIN,FIN,74,195,,,L,Hannikainen,Markus,LW,CBJ,10,1,1,0,1,2,0
925000,94-11-30,AUT,SVK,71,212,2013,27,L,Dano,Marko,C/LW/RW,WPG,38,4,,3,,11,0
4250000,89-09-01,SWE,SWE,71,184,2008,121,L,Nyquist,Gustav,RW/C/LW,DET,76,12,36,22,14,48,0
667500,94-08-08,CZE,CZE,,176,2015,137,L,Simon,Dominik,C,PIT,2,0,1,1,0,,-1
8000000,84-05-01,USA,USA,75,221,2003,62,R,Backes,David,RW/C,BOS,74,17,21,12,9,38,2
635000,93-02-26,CAN,CAN,74,215,,,L,Goodrow,Barclay,RW/C,S.J,3,0,1,0,1,1,
3650000,89-10-06,CAN,CAN,69,175,2008,26,L,Ennis,Tyler,LW/C/RW,BUF,51,,8,5,3,13,-10
3750000,92-12-07,USA,CAN,,211,2011,8,L,Couturier,Sean,C,PHI,66,14,20,10,10,34,12
6075000,82-02-14,SVK,SVK,73,205,2000,3,L,Gaborik,Marian,RW,L.A,56,10,11,9,2,21,-4
950000,90-02-23,CAN,CAN,74,205,2009,83,L,Connauton,Kevin,D,ARI,24,0,1,1,0,1,-1
925000,96-09-13,SWE,SWE,74,202,2014,29,L,Kempe,Adrian,LW/C,L.A,25,2,4,3,1,6,-3
2750000,82-04-03,CAN,CAN,74,214,2000,194,R,Engelland,Deryk,D,CGY,81,4,12,6,6,,2
5000000,81-03-05,USA,USA,,200,2000,62,L,Martin,Paul,D,S.J,81,4,,5,17,26,10
5000000,87-11-12,CAN,CAN,72,191,2006,12,R,Little,Bryan,C/RW,WPG,59,21,,16,10,47,-7
11000000,89-05-13,CAN,CAN,72,210,,43,R,Subban,P.K.,D,NSH,66,10,30,13,17,40,-8
600000,93-04-27,CAN,CAN,77,212,2011,191,L,Graovac,Tyler,C,MIN,52,7,2,1,1,,
6000000,88-03-21,USA,USA,76,225,2006,1,R,Johnson,Erik,D,COL,46,2,15,7,8,17,-6
950000,91-02-22,CZE,CZE,75,200,2009,75,L,Nestrasil,Andrej,C/RW/LW,CAR,19,1,4,3,1,5,
775000,92-06-16,USA,USA,73,212,,29,L,Etem,Emerson,LW/RW,ANA,3,0,0,0,0,0,1
1700000,92-10-05,CHE,CHE,,192,2011,13,L,Baertschi,Sven,LW,VAN,68,,17,8,,35,-6
1025000,84-02-17,USA,USA,74,183,2003,186,L,Miller,Drew,LW/RW,DET,55,5,2,1,1,7,-12
925000,95-12-05,CAN,CAN,74,232,2014,10,L,Ritchie,Nick,LW,ANA,77,14,,8,6,28,4
5400000,83-03-12,FIN,FIN,75,215,2001,6,L,Koivu,Mikko,C,MIN,80,18,40,14,26,58,27
7875000,84-08-31,USA,USA,74,202,2003,23,R,Kesler,Ryan,C/RW,ANA,82,22,36,23,13,,8
842500,92-12-12,USA,USA,,160,,,R,Czarnik,Austin,C,BOS,49,5,8,,3,13,-10
2000000,84-01-04,CZE,CZE,70,190,2002,58,L,Hudler,Jiri,RW/LW,DAL,32,3,8,5,3,11,-3
2570000,91-07-23,RUS,RUS,71,212,,55,L,Orlov,Dmitry,D,WSH,82,,27,19,8,33,30
575000,87-01-07,CAN,CAN,72,205,2005,95,R,Bass,Cody,C,NSH,9,0,0,0,0,,-1
1300000,94-05-16,RUS,RUS,75,209,,12,L,Grigorenko,Mikhail,C,COL,75,10,13,8,5,23,-14
4000000,89-08-14,CAN,CAN,73,190,2007,3,R,Turris,Kyle,C,OTT,78,27,28,21,7,,-3
925000,97-07-19,USA,USA,74,218,2015,8,L,Werenski,Zach,D,CBJ,78,11,36,15,21,47,17
600000,93-02-22,CAN,CAN,74,214,2011,18,R,McNeill,Mark,C/RW,DAL,1,0,0,0,0,0,
10000000,89-08-15,CZE,CZE,74,214,2007,7,L,Voracek,Jakub,RW,PHI,82,,41,26,15,61,-24
925000,97-01-02,SWE,SWE,76,191,2015,29,L,Carlsson,Gabriel,D,CBJ,2,0,,0,1,1,-2
3000000,83-12-19,CAN,CAN,73,195,2002,57,L,Stajan,Matt,C,CGY,81,,17,10,7,23,3
832500,94-10-13,CAN,CAN,70,181,2013,24,L,Shinkaruk,Hunter,C/LW,CGY,7,0,1,0,1,1,
925000,94-01-21,USA,USA,71,171,,,L,Molino,Griffen,C,VAN,5,0,0,0,0,0,-2
900000,89-05-09,CAN,CAN,73,200,2007,21,R,Nash,Riley,C/RW,BOS,81,7,10,8,2,,-1
750000,91-07-24,USA,USA,74,188,,,R,van Riemsdyk,Trevor,D,CHI,58,5,11,5,6,16,17
832500,95-02-09,AUT,SWE,75,205,2013,23,L,Burakovsky,Andre,LW/C,WSH,64,12,,9,14,35,13
925000,94-09-19,USA,USA,72,200,,,L,Kapla,Michael,D,N.J,5,0,0,0,0,0,-1
1250000,84-06-26,CAN,CAN,74,210,,,L,McLeod,Cody,LW/RW,COL/NSH,59,5,1,0,1,,-3
625000,93-03-12,CAN,CAN,74,207,2011,57,L,Wotherspoon,Tyler,D,CGY,4,0,0,0,0,0,-2
900000,80-11-11,CAN,CAN,,190,1999,94,L,Kelly,Chris,C/LW,OTT,82,,7,6,1,12,
5000000,89-06-13,USA,USA,,216,,12,L,McDonagh,Ryan,D,NYR,77,6,36,22,14,42,20
